,id,description,image,images,relevant,processed_description,text_score
29,918736,Summer game Among Us 3D Cartoon amongus T Shirt boys girls Tees Short Sleeve Casual T Shirt Print New Fashion boys kids Tops,d5e94eee21b701f5f3d409bb1b9bc43a4b47096c,['d5e94eee21b701f5f3d409bb1b9bc43a4b47096c'],1,summer game among us 3d cartoon amongus shirt boys girls tees short sleeve casual shirt print new fashion boys kids tops,0.2278015264
30,918737,Amongus popping New Rainbow Big Large round/square chessboard Jumbo Bubble Silicone Popper Sensory Push it Fidget Toy for kid,e2f1fc809a41a94019f48e0a4847dce60b3ae2dc,"['e2f1fc809a41a94019f48e0a4847dce60b3ae2dc', '5356a580f334e33c6d2a9b6dbd174ba2f1779d5d']",0,amongus popping new rainbow big large round square chessboard jumbo bubble silicone popper sensory push fidget toy kid,0.0032300909
31,918738,3D among us print Tshirts new Harajuku men s and womens street tops short sleeve boys fashion among us graphic T-shirts,024e85b15c0bb8ae1d644bbfe7d7083376c8171c,['024e85b15c0bb8ae1d644bbfe7d7083376c8171c'],1,3d among us print tshirts new harajuku men womens street tops short sleeve boys fashion among us graphic shirts,0.058431476
32,918739,2021 Hot Among Us Push Silicone Stress Reliever Toy Autism Game Stress Toys Sensory Amongus Kids Fidget Toy,37d5fd60adbe6525d1d002397093385cbbe48c51,"['37d5fd60adbe6525d1d002397093385cbbe48c51', '4b2479f1fa6f5a005b3bacc8974ba02176ead156']",0,2021 hot among us push silicone stress reliever toy autism game stress toys sensory amongus kids fidget toy,0.010561600800000001
33,918740,Amongus Game Plush Toy Plush Among Us Crewmate Funny Handmade Plush Among Us spaceman Toys,9016ed2aed1043bfe296b8f050ed0e4f58d6b4ba,"['9016ed2aed1043bfe296b8f050ed0e4f58d6b4ba', 'aa9c6a956e044e3da5efa13b904db002653fb398']",0,amongus game plush toy plush among us crewmate funny handmade plush among us spaceman toys,0.0231620774
34,918741,Children's Among Us Impostor Clothing Cotton Baby Boys Sweatshirts for Autumn Kids Game Clothes Little Boys Outerwear Costume,b25a715b2840d6a727f2473a31caabe2e4c3903b,['b25a715b2840d6a727f2473a31caabe2e4c3903b'],1,children among us impostor clothing cotton baby boys sweatshirts autumn kids game clothes little boys outerwear costume,0.9862395553000001
35,918742,New Among Us Space Wolf Killing Building Blocks Figure 12pcs Game Figuras Assembled Boy Toys,9af74e9e31e7a3db852b47dc21ae443e84a8d194,['9af74e9e31e7a3db852b47dc21ae443e84a8d194'],1,new among us space wolf killing building blocks figure 12pcs game figuras assembled boy toys,0.1401950513
36,918743,amongus plush toy,a5835382300c7e8e57404ed5de969d939b29c37a,"['a5835382300c7e8e57404ed5de969d939b29c37a', '660ccba6ddf6fb22599f0be5de573c7f7656ad9c']",0,amongus plush toy,0.0078210627
37,918744,Christmas Toys Gift For Children Anime Game Among Us Christmas Style PVC Action Figures 12PCS Package,c5b860ca154f6de8e4fcac2b55ccc92589c4ab9a,['c5b860ca154f6de8e4fcac2b55ccc92589c4ab9a'],1,christmas toys gift children anime game among us christmas style pvc action figures 12pcs package,0.9042511574000001
38,918745,Educational Creative Squeeze Silicone Simple Push Bubbl New Amongus Tie Dye Fidget Toy,a9c79420501913aca459bcea1407e1356d6d6808,"['a9c79420501913aca459bcea1407e1356d6d6808', '55a5c34d118be36de6f083255b7552c1d1108131']",0,educational creative squeeze silicone simple push bubbl new amongus tie dye fidget toy,0.0071641307
39,918746,30Cm Among Us Dolls Toys Among Us Plush Toys Soft Stuffed Dolls Hot Game Figure Animal Plushie Gift for Kids Boys Girls Toys,29e59e791444c7e8e8ee5a4e6f20336b0c3ccecc,['29e59e791444c7e8e8ee5a4e6f20336b0c3ccecc'],0,30cm among us dolls toys among us plush toys soft stuffed dolls hot game figure animal plushie gift kids boys girls toys,0.0202344238
40,918747,12pcs/set Hot Game  Action Toys Cute Among Children Models PVC Figures Toy Set Gifts For Us Boys,c9069dc81dc1a0f93f1c7e0914eaa92a45af71a6,['c9069dc81dc1a0f93f1c7e0914eaa92a45af71a6'],0,12pcs set hot game action toys cute among children models pvc figures toy set gifts us boys,0.2449427176
41,918748,13cm Soft Plush Toys Among Us Game Werewolf Plush Dolls Pillow Figure Stuffed Animals for Kids Toy Christmas Gift Home Car Decor,d356318f541375563c283eac226d79b5d63d13f0,['d356318f541375563c283eac226d79b5d63d13f0'],0,13cm soft plush toys among us game werewolf plush dolls pillow figure stuffed animals kids toy christmas gift home car decor,0.002338558
42,918749,2021 New Design Silicone Push Bubble Multicolor Huge Large Big Glow Amongus Giant Fig Pop Toy Small Mini Figet Toys,3ced5062b8e4dac761565ed885ebc3957d224c2f,"['3ced5062b8e4dac761565ed885ebc3957d224c2f', '2ed49b11e44a2bceb31cbbc264a0791bda459c53']",0,2021 new design silicone push bubble multicolor huge large big glow amongus giant fig pop toy small mini figet toys,0.0077574918
43,918750,Kids Gift Amongus Plush Octopus Stuffed Soft Pillow Cushion Cute Boba Tea Plushie Plush Toys Doll for Sale,157bab708372ba74a279d09bba80b358a48145ed,"['157bab708372ba74a279d09bba80b358a48145ed', 'cc00da2421238620686048032327e779033befef']",0,kids gift amongus plush octopus stuffed soft pillow cushion cute boba tea plushie plush toys doll sale,0.0008972556
44,918751,NEW Cute Kawaii Among Us Keychain Keyring Amongus Plushie Plush Stuffed Toy Doll Christmas Ornament Pendant,fd9680d675642a62eb6808d5b6f5eb87599a3e91,"['fd9680d675642a62eb6808d5b6f5eb87599a3e91', '1d3296b5b9e9b796db9e1a93e5f18a0331d229fa']",0,new cute kawaii among us keychain keyring amongus plushie plush stuffed toy doll christmas ornament pendant,0.0039453817
45,918752,2021 New Soft Plush Among of Us stuffed Plush toys AmongUs Game Plushs Toy Stuffed Doll Christmas Gift Cute Plushie Kid Gift,c89f11ccf6c5b638bda6c8ef7c0cb2470a31b028,['c89f11ccf6c5b638bda6c8ef7c0cb2470a31b028'],0,2021 new soft plush among us stuffed plush toys amongus game plushs toy stuffed doll christmas gift cute plushie kid gift,0.0016909826000000001
46,918753,Amazon hot selling Pop Game Rainbow macaron Push Bubble amongus fidget toys Popper Fidget Sensory popit Toys,d051f68e17b33942c7c6984228c68d99c83b8439,"['d051f68e17b33942c7c6984228c68d99c83b8439', '89a92812a012168167e192a8ba00e6b28b248956']",0,amazon hot selling pop game rainbow macaron push bubble amongus fidget toys popper fidget sensory popit toys,0.0099148789
47,918754,2021 Among Us Kids Hoodie Hip Hop Game Hoodie Boys Among Us Pullover 2021 Spring And Fall New Products Girls Boy Impostor Hoodie,8f9b4aae8bab89538677a5c6f1290d89eaa8f5f2,['8f9b4aae8bab89538677a5c6f1290d89eaa8f5f2'],1,2021 among us kids hoodie hip hop game hoodie boys among us pullover 2021 spring fall new products girls boy impostor hoodie,0.4731742223
48,918755,12pcs/bag Among Us 10cm Plush Among Us Game Soft Plush Toy with Music Kawaii Stuffed Doll Cute Red Small Among Us Plushie Gift,e3e727f9bb5c637a83b1134eba0fcd4c233e504b,['e3e727f9bb5c637a83b1134eba0fcd4c233e504b'],0,12pcs bag among us 10cm plush among us game soft plush toy music kawaii stuffed doll cute red small among us plushie gift,0.0239820501
49,918756,Children Among Us Clothing Cotton Baby Boy Among Us Sweatshirts for Autumn Kids Clothes Among Us Little Boys Outerwear Costume,c2d3fb2eca44bad695cd84e02c673cc27fdc175d,['c2d3fb2eca44bad695cd84e02c673cc27fdc175d'],1,children among us clothing cotton baby boy among us sweatshirts autumn kids clothes among us little boys outerwear costume,0.9979444044
50,918757,Custom amongus plush toys bed adult stuffed animal,b86516a20921881b209a44db66f85dc0cec59831,"['b86516a20921881b209a44db66f85dc0cec59831', '9484e363cdb342748b3b5f5083da0fc108c4c300']",0,custom amongus plush toys bed adult stuffed animal,0.0032912265
51,918758,2021 Winter Hot Sale Fashion Boys Cartoon Sport Among Us Hoodies Outerwear Children Long Sleeve Casual Hooded Sweat shirt 4-14T,8a47b0c60e13633e8a78299cd14673ac19e9da96,['8a47b0c60e13633e8a78299cd14673ac19e9da96'],1,2021 winter hot sale fashion boys cartoon sport among us hoodies outerwear children long sleeve casual hooded sweat shirt 4 14t,0.8993417949
52,918759,Soft Among Us Plush Plushie Game Stuffed Doll Amongus Toys Amoung Kids Birthday Christmas Gift Cute Stuffed Doll Amongus Toys,6729a8acdbfdf092fa517651c9edbb0279241977,"['6729a8acdbfdf092fa517651c9edbb0279241977', 'a01787195bb65926859d21b05729b796fbb4034d']",0,soft among us plush plushie game stuffed doll amongus toys amoung kids birthday christmas gift cute stuffed doll amongus toys,0.0018657951
53,918760,Summer New Game AmongUs- 3D Cartoon T-shirt Clothing Boy Girl Fashion Breathable Short-Sleeved Casual Printed Tshirt Size 4T-14T,75f467a04f86432f8e752744a486c415e7270c9b,['75f467a04f86432f8e752744a486c415e7270c9b'],1,summer new game amongus 3d cartoon shirt clothing boy girl fashion breathable short sleeved casual printed tshirt size 4t 14t,0.047516563000000005
54,918761,Hot Amazon Decompression Squeeze Snapper Fidgets Toys 30Cm Huge Amongus Mini Pops-Its Antistress Big For Kids Autistic Children,7e84619cccd03896837411b0fab22e52d583dfe2,"['7e84619cccd03896837411b0fab22e52d583dfe2', 'c4bd81694341912e6aea3ca9f5d3a66b3fdbcfa6']",0,hot amazon decompression squeeze snapper fidgets toys 30cm huge amongus mini pops antistress big kids autistic children,0.0499784166
55,918762,Cartoon Figures 10pcs Among Us Pvc Action Figures Model Toys Computer Desktop Dolls Gifts Set Toys For Children Games Collection,9e2909d0c6acd61613cc9a46c1dc58729ea5de00,['9e2909d0c6acd61613cc9a46c1dc58729ea5de00'],0,cartoon figures 10pcs among us pvc action figures model toys computer desktop dolls gifts set toys children games collection,0.3401410816
56,918763,Pulpo Anime Plushie Reversible Flip Two-sided Among Us Plush Toy Kawaii Amongus Stuffed Animals Doll Toys for Kids Birthday Gift,13481aac32ac9a6e180fa63c0d67e28ed009db68,['13481aac32ac9a6e180fa63c0d67e28ed009db68'],0,pulpo anime plushie reversible flip two sided among us plush toy kawaii amongus stuffed animals doll toys kids birthday gift,0.002692387
57,918764,New Winter Amongus Clothing Kids Clothing Cotton Baby Boy Sweatshirts Autumn Childrens Clothing Little Boys Long-sleeved Sweater,f740cdb639804b060b0fa51b0695f31a2baca369,['f740cdb639804b060b0fa51b0695f31a2baca369'],1,new winter amongus clothing kids clothing cotton baby boy sweatshirts autumn childrens clothing little boys long sleeved sweater,0.8785694715
58,918765,Colors Halloween Pumpkin Push Bubble Pop Fidget Sensory Toy ADHD Stress Relief Amongus Silicon Pop Game Push Fidget Toys,8632e3a8b61f01a3ec4f487548fa4072d2d7eedd,"['8632e3a8b61f01a3ec4f487548fa4072d2d7eedd', '55314d6374a3afae2443786517f1c67f7f78a233']",0,colors halloween pumpkin push bubble pop fidget sensory toy adhd stress relief amongus silicon pop game push fidget toys,0.0018724625
59,918766,Hoodies and Pants Winter Kids Boy Formal Suit Long Sleeve Hoodies+Among us Pants Casual Clothes Outfit Impostor Suit 4-14 year,ed5a8b633741d7554057ccda893a4155b041ee8d,['ed5a8b633741d7554057ccda893a4155b041ee8d'],1,hoodies pants winter kids boy formal suit long sleeve hoodies among us pants casual clothes outfit impostor suit 4 14 year,0.8338488928000001
60,918767,New style 4-14 year Among Us Kawaii Printed 3D Hoodie Children's Game Printed Sweatshirt Casual Cute Summer Children Boys Girls,2e1e4039fb68607e15f6b3c477a226b26940d934,['2e1e4039fb68607e15f6b3c477a226b26940d934'],0,new style 4 14 year among us kawaii printed 3d hoodie children game printed sweatshirt casual cute summer children boys girls,0.1924137428
61,918768,Hot Game Boys Hoodie Kids Clothes Funny Amongus Hoodies For Teen Girls 3-14y Baby Sweatshirt Children Costume,068b0e58b9827f1bdbe7fdb8622736f7806c8e25,['068b0e58b9827f1bdbe7fdb8622736f7806c8e25'],1,hot game boys hoodie kids clothes funny amongus hoodies teen girls 3 14y baby sweatshirt children costume,0.9634125966
62,918769,High-Quality Push amongus fidget toy puzzle game Silicone Bubble family games,623f79472d8a406fbe1bc47e0abdc74d076cb859,"['623f79472d8a406fbe1bc47e0abdc74d076cb859', '92733940e71f12f52dd22dc4a98c2271354b3111']",0,high quality push amongus fidget toy puzzle game silicone bubble family games,0.0434903184
63,918770,Pulpo Anime Plushie Reversible Flip Two-sided Among Us Plush Toy Kawaii Amongus Stuffed Animals Doll Toys for Kids Birthday Gift,4cdb5f0a8e2576019418c1ffe1ef0469e450e72d,['4cdb5f0a8e2576019418c1ffe1ef0469e450e72d'],0,pulpo anime plushie reversible flip two sided among us plush toy kawaii amongus stuffed animals doll toys kids birthday gift,0.002692387
64,918771,New 8Pcs/12pcs Among Us Action Figures Toys Keychain PVC Model Puppets Amongus Game Dolls Collection Children Gift 6-9cm,596113e6cce11e32fd4122e221c0f952fb13b3a2,['596113e6cce11e32fd4122e221c0f952fb13b3a2'],1,new 8pcs 12pcs among us action figures toys keychain pvc model puppets amongus game dolls collection children gift 6 9cm,0.7289329154
65,918772,AMONG of us T-shirt Children's Short Sleeve girl Boys Kids 100%cotton Birthday Printing amongus Clothes Top Tee Birthday Gift,246203d24b87f8671ec7c21365e811fcd425c42d,['246203d24b87f8671ec7c21365e811fcd425c42d'],1,among us shirt children short sleeve girl boys kids 100 cotton birthday printing amongus clothes top tee birthday gift,0.529705088
66,918773,HOT SALE Fidget Push Its Pencil Pouch Bubble Sensory Fidget Toy Stress Reliever amongus Push Pop Pencil Case,0e55c6e25ccbadad918d33f59b2fe74d5a54a479,"['0e55c6e25ccbadad918d33f59b2fe74d5a54a479', '3d09d0c2ea193ad8b1ae3448eb807ad8df16d382']",0,hot sale fidget push pencil pouch bubble sensory fidget toy stress reliever amongus push pop pencil case,0.0017493362
67,918774,Hot Online Games Amongus T Shirt For Teen Boys and Girls T-shirt Hip Hop Tops Tees Cartoon Graphic Clothes Children T-shirt Kids,70dc0c921966f16c05fdf02285f5ce925f1e8c6d,['70dc0c921966f16c05fdf02285f5ce925f1e8c6d'],0,hot online games amongus shirt teen boys girls shirt hip hop tops tees cartoon graphic clothes children shirt kids,0.3551835296
68,918775,10/30/50PCS Popular Games Among Us Graffiti Waterproof Sticker Suitcase Notebook Skateboard Refrigerator Stationery BoxWholesale,43652e597d82e50337e905c1246a8083b942a5aa,['43652e597d82e50337e905c1246a8083b942a5aa'],1,10 30 50pcs popular games among us graffiti waterproof sticker suitcase notebook skateboard refrigerator stationery boxwholesale,0.9725453069000001
69,918776,2021 Spring Autumn Impostor Graphic Hoodies 4-14Years Children Cartooon Among Us Sweatshirt For Kids Boy Impostor Graphic Hoodie,0fdcf798e38df01a52ac0ad5947f4222a64859e4,['0fdcf798e38df01a52ac0ad5947f4222a64859e4'],1,2021 spring autumn impostor graphic hoodies 4 14years children cartooon among us sweatshirt kids boy impostor graphic hoodie,0.6507592781
70,918777,Baby Boys Among Us Long Sleeve Sweatshirt Autumn Pullover Boys 3D Tops Kids Cartoon Streetwear For Boys Girls Clothes 4-14 Years,8c307a16e0b908adfd02e9383cae74667cd78337,['8c307a16e0b908adfd02e9383cae74667cd78337'],1,baby boys among us long sleeve sweatshirt autumn pullover boys 3d tops kids cartoon streetwear boys girls clothes 4 14 years,0.9401354071
71,918778,jumbo 30cm 40cm rainbow amongus big popit fidget toy set game bubble push pop,4a6893d8b97a8ecf193c7331c3827aab870aa0a5,"['4a6893d8b97a8ecf193c7331c3827aab870aa0a5', 'd9c2a29bc2a75598652b365fd8e4dc41572c304b']",0,jumbo 30cm 40cm rainbow amongus big popit fidget toy set game bubble push pop,0.0030166217
72,918779,50pcs/pack Hot sale Game Among Us Graffiti Stickers For Notebook Motorcycle Skateboard Computer Mobile Phone Decal Cartoon Toy,1a660508ae3183a16538facdcbebdb17428b2a4a,['1a660508ae3183a16538facdcbebdb17428b2a4a'],1,50pcs pack hot sale game among us graffiti stickers notebook motorcycle skateboard computer mobile phone decal cartoon toy,0.9367213911000001
73,918780,Pink Girls Games Ninja AmongUs T-shirt For Boys Clothes Children Short Sleeve 3D Printed Breathable Boys Clothing Kids Tops Tees,bd4ddf3ee89ea2720fd5d26dd3982ad75ba5e6db,['bd4ddf3ee89ea2720fd5d26dd3982ad75ba5e6db'],0,pink girls games ninja amongus shirt boys clothes children short sleeve 3d printed breathable boys clothing kids tops tees,0.0145482588
74,918781,Popular Game Simple Dimple Stress Reliever Set Sensory Fidget Toys Amongus Popit,1f26cb32fd0f0a5feed5dbea36a71d8b6d21ff86,"['1f26cb32fd0f0a5feed5dbea36a71d8b6d21ff86', '83875c7e405482a664206585d22c1ed37008cfd2']",0,popular game simple dimple stress reliever set sensory fidget toys amongus popit,0.0123289691
75,918782,Among of Us Filter Mask Reusable Breathable Stretch Dust Mak Amongus Washable Cosplay Face-Mask Washable Child Kid Mascarilla,85eeaa788e97de2b59f604fd1b84e1259761702a,['85eeaa788e97de2b59f604fd1b84e1259761702a'],1,among us filter mask reusable breathable stretch dust mak amongus washable cosplay face mask washable child kid mascarilla,0.2213532829
